C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/06/07,02:10:00,0000000295553529,
D,TRADING,PRICE,2,"2018/05/01 10:30:00",1,TAS1,21,78.29
D,TRADING,PRICE,2,"2018/05/01 10:30:00",1,VIC1,21,65
D,TRADING,PRICE,2,"2018/05/01 11:00:00",1,NSW1,22,61.46
D,TRADING,PRICE,2,"2018/05/01 11:00:00",1,QLD1,22,53.59
D,TRADING,PRICE,2,"2018/05/01 11:00:00",1,SA1,22,75.54
D,TRADING,PRICE,2,"2018/05/01 11:00:00",1,TAS1,22,70.2
D,TRADING,PRICE,2,"2018/05/01 11:00:00",1,VIC1,22,65.01
D,TRADING,PRICE,2,"2018/05/01 11:30:00",1,NSW1,23,57.92
D,TRADING,PRICE,2,"2018/05/01 11:30:00",1,QLD1,23,51.17
D,TRADING,PRICE,2,"2018/05/01 11:30:00",1,SA1,23,67.37
D,TRADING,PRICE,2,"2018/05/01 11:30:00",1,TAS1,23,77.45
D,TRADING,PRICE,2,"2018/05/01 11:30:00",1,VIC1,23,58.61
D,TRADING,PRICE,2,"2018/05/01 12:00:00",1,NSW1,24,61.15
D,TRADING,PRICE,2,"2018/05/01 12:00:00",1,QLD1,24,53.64
D,TRADING,PRICE,2,"2018/05/01 12:00:00",1,SA1,24,73.66
D,TRADING,PRICE,2,"2018/05/01 12:00:00",1,TAS1,24,68.97
D,TRADING,PRICE,2,"2018/05/01 12:00:00",1,VIC1,24,63.47
D,TRADING,PRICE,2,"2018/05/01 12:30:00",1,NSW1,25,61.73
D,TRADING,PRICE,2,"2018/05/01 12:30:00",1,QLD1,25,53.83
D,TRADING,PRICE,2,"2018/05/01 12:30:00",1,SA1,25,92.85
D,TRADING,PRICE,2,"2018/05/01 12:30:00",1,TAS1,25,73.88
D,TRADING,PRICE,2,"2018/05/01 12:30:00",1,VIC1,25,65
D,TRADING,PRICE,2,"2018/05/01 13:00:00",1,NSW1,26,61.53
D,TRADING,PRICE,2,"2018/05/01 13:00:00",1,QLD1,26,51.77
D,TRADING,PRICE,2,"2018/05/01 13:00:00",1,SA1,26,80.03
D,TRADING,PRICE,2,"2018/05/01 13:00:00",1,TAS1,26,78.36
D,TRADING,PRICE,2,"2018/05/01 13:00:00",1,VIC1,26,65
D,TRADING,PRICE,2,"2018/05/01 13:30:00",1,NSW1,27,61.45
D,TRADING,PRICE,2,"2018/05/01 13:30:00",1,QLD1,27,50.84
D,TRADING,PRICE,2,"2018/05/01 13:30:00",1,SA1,27,79.25
D,TRADING,PRICE,2,"2018/05/01 13:30:00",1,TAS1,27,78.36
D,TRADING,PRICE,2,"2018/05/01 13:30:00",1,VIC1,27,65
D,TRADING,PRICE,2,"2018/05/01 14:00:00",1,NSW1,28,63.53
D,TRADING,PRICE,2,"2018/05/01 14:00:00",1,QLD1,28,54.94
D,TRADING,PRICE,2,"2018/05/01 14:00:00",1,SA1,28,80.63
D,TRADING,PRICE,2,"2018/05/01 14:00:00",1,TAS1,28,83.71
D,TRADING,PRICE,2,"2018/05/01 14:00:00",1,VIC1,28,66.03
D,TRADING,PRICE,2,"2018/05/01 14:30:00",1,NSW1,29,67.92
D,TRADING,PRICE,2,"2018/05/01 14:30:00",1,QLD1,29,61.33
D,TRADING,PRICE,2,"2018/05/01 14:30:00",1,SA1,29,84.28
D,TRADING,PRICE,2,"2018/05/01 14:30:00",1,TAS1,29,78.74
D,TRADING,PRICE,2,"2018/05/01 14:30:00",1,VIC1,29,69.78
D,TRADING,PRICE,2,"2018/05/01 15:00:00",1,NSW1,30,68.08
D,TRADING,PRICE,2,"2018/05/01 15:00:00",1,QLD1,30,62.81
D,TRADING,PRICE,2,"2018/05/01 15:00:00",1,SA1,30,82.13
D,TRADING,PRICE,2,"2018/05/01 15:00:00",1,TAS1,30,76.98
D,TRADING,PRICE,2,"2018/05/01 15:00:00",1,VIC1,30,67.07
D,TRADING,PRICE,2,"2018/05/01 15:30:00",1,NSW1,31,71.32
D,TRADING,PRICE,2,"2018/05/01 15:30:00",1,QLD1,31,65.76
D,TRADING,PRICE,2,"2018/05/01 15:30:00",1,SA1,31,85.09
D,TRADING,PRICE,2,"2018/05/01 15:30:00",1,TAS1,31,76
D,TRADING,PRICE,2,"2018/05/01 15:30:00",1,VIC1,31,69.41
D,TRADING,PRICE,2,"2018/05/01 16:00:00",1,NSW1,32,76.16
D,TRADING,PRICE,2,"2018/05/01 16:00:00",1,QLD1,32,70.45
D,TRADING,PRICE,2,"2018/05/01 16:00:00",1,SA1,32,96.08
D,TRADING,PRICE,2,"2018/05/01 16:00:00",1,TAS1,32,74.6
D,TRADING,PRICE,2,"2018/05/01 16:00:00",1,VIC1,32,78.75
D,TRADING,PRICE,2,"2018/05/01 16:30:00",1,NSW1,33,80.23
D,TRADING,PRICE,2,"2018/05/01 16:30:00",1,QLD1,33,75.17
D,TRADING,PRICE,2,"2018/05/01 16:30:00",1,SA1,33,102.96
D,TRADING,PRICE,2,"2018/05/01 16:30:00",1,TAS1,33,74.36
D,TRADING,PRICE,2,"2018/05/01 16:30:00",1,VIC1,33,83.68
D,TRADING,PRICE,2,"2018/05/01 17:00:00",1,NSW1,34,87.07
D,TRADING,PRICE,2,"2018/05/01 17:00:00",1,QLD1,34,84.72
D,TRADING,PRICE,2,"2018/05/01 17:00:00",1,SA1,34,115.57
D,TRADING,PRICE,2,"2018/05/01 17:00:00",1,TAS1,34,72.02
D,TRADING,PRICE,2,"2018/05/01 17:00:00",1,VIC1,34,94.08
D,TRADING,PRICE,2,"2018/05/01 17:30:00",1,NSW1,35,94.55
D,TRADING,PRICE,2,"2018/05/01 17:30:00",1,QLD1,35,91.96
D,TRADING,PRICE,2,"2018/05/01 17:30:00",1,SA1,35,128.45
D,TRADING,PRICE,2,"2018/05/01 17:30:00",1,TAS1,35,77.12
D,TRADING,PRICE,2,"2018/05/01 17:30:00",1,VIC1,35,102.8
D,TRADING,PRICE,2,"2018/05/01 18:00:00",1,NSW1,36,108.33
D,TRADING,PRICE,2,"2018/05/01 18:00:00",1,QLD1,36,101.74
