"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.08.06","X16.05.11","X0000000428653915","X","X0000000428653863"
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","ROYALLA1","15.4090",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","RPCG","-0.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","SHOAL1","44.8750",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","WAUBRAWF","38.025002",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","WOOLNTH1","1.50",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","YAMBUKWF","1.80",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","YSWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","BARCSF1","6.50",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","BUTLERSG","7.399999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","BWTR1","4.687120",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","CAPTL_WF","21.367514",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","CHALLHWF","1.50",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","CLOVER","-0.01",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","CLUNY","9.224537",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","CONDONG1","19.34",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","CULLRGWF","2.65",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","DIAPURWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","GB01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","GERMCRK","18.304001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","GRIFSF1","12.800794",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","HUGSF1","7.788001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","KEPBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","LRSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","MBAHNTH","33.787506",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","MLSP1","9.884001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","MLWF1","0.69",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","PALOONA","12.78",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","PIONEER","-2.20",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","PORTWF","10.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","REPULSE","14.992294",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","ROWALLAN","-0.004929",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","ROYALLA1","15.726001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","RPCG","-0.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:15:00","RUBICON","0",NA,NA,NA
