"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.09.08","X20.25.36","X001725791136689","MONTHLY_ARCHIVE","X001725791136689.1"
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HALLWF2","32.76",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HAMISF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HAUGHT11","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HAYMSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HBESSG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HBESSL1","1.5",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HD1WF1","19.01",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HDWF1","99.4",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HDWF2","99.7",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HDWF3","108.7",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HEZ1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HILLSTN1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HPRG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HPRL1","27.5",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HUGSF1","-0.103",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HUMENSW","0",NA,NA,NA
