C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2024/10/08,10:26:31,001728347191867,MONTHLY_ARCHIVE
D,TRADING,PRICE,3,"2024/09/01 02:40:00",1,TAS1,32,3.87
D,TRADING,PRICE,3,"2024/09/01 02:40:00",1,VIC1,32,-45.1
D,TRADING,PRICE,3,"2024/09/01 02:45:00",1,NSW1,33,36.59
D,TRADING,PRICE,3,"2024/09/01 02:45:00",1,QLD1,33,55.75
D,TRADING,PRICE,3,"2024/09/01 02:45:00",1,SA1,33,-44.45
D,TRADING,PRICE,3,"2024/09/01 02:45:00",1,TAS1,33,4.04
D,TRADING,PRICE,3,"2024/09/01 02:45:00",1,VIC1,33,-45.37
D,TRADING,PRICE,3,"2024/09/01 02:50:00",1,NSW1,34,34.39
D,TRADING,PRICE,3,"2024/09/01 02:50:00",1,QLD1,34,55.75
D,TRADING,PRICE,3,"2024/09/01 02:50:00",1,SA1,34,-43.41
D,TRADING,PRICE,3,"2024/09/01 02:50:00",1,TAS1,34,3.54
D,TRADING,PRICE,3,"2024/09/01 02:50:00",1,VIC1,34,-44
D,TRADING,PRICE,3,"2024/09/01 02:55:00",1,NSW1,35,34.39
D,TRADING,PRICE,3,"2024/09/01 02:55:00",1,QLD1,35,55.75
D,TRADING,PRICE,3,"2024/09/01 02:55:00",1,SA1,35,-46.83
D,TRADING,PRICE,3,"2024/09/01 02:55:00",1,TAS1,35,1.06
D,TRADING,PRICE,3,"2024/09/01 02:55:00",1,VIC1,35,-48.03
D,TRADING,PRICE,3,"2024/09/01 03:00:00",1,NSW1,36,35.88
D,TRADING,PRICE,3,"2024/09/01 03:00:00",1,QLD1,36,77.95
D,TRADING,PRICE,3,"2024/09/01 03:00:00",1,SA1,36,-47.82
D,TRADING,PRICE,3,"2024/09/01 03:00:00",1,TAS1,36,-45.79
D,TRADING,PRICE,3,"2024/09/01 03:00:00",1,VIC1,36,-48.03
D,TRADING,PRICE,3,"2024/09/01 03:05:00",1,NSW1,37,-41.88
D,TRADING,PRICE,3,"2024/09/01 03:05:00",1,QLD1,37,96.75
D,TRADING,PRICE,3,"2024/09/01 03:05:00",1,SA1,37,-48.43
D,TRADING,PRICE,3,"2024/09/01 03:05:00",1,TAS1,37,-49.93
D,TRADING,PRICE,3,"2024/09/01 03:05:00",1,VIC1,37,-48.03
D,TRADING,PRICE,3,"2024/09/01 03:10:00",1,NSW1,38,35.88
D,TRADING,PRICE,3,"2024/09/01 03:10:00",1,QLD1,38,96.75
D,TRADING,PRICE,3,"2024/09/01 03:10:00",1,SA1,38,-46.77
D,TRADING,PRICE,3,"2024/09/01 03:10:00",1,TAS1,38,-49.12
D,TRADING,PRICE,3,"2024/09/01 03:10:00",1,VIC1,38,-46.43
D,TRADING,PRICE,3,"2024/09/01 03:15:00",1,NSW1,39,56.5
D,TRADING,PRICE,3,"2024/09/01 03:15:00",1,QLD1,39,77.95
D,TRADING,PRICE,3,"2024/09/01 03:15:00",1,SA1,39,-46.77
D,TRADING,PRICE,3,"2024/09/01 03:15:00",1,TAS1,39,-48.04
D,TRADING,PRICE,3,"2024/09/01 03:15:00",1,VIC1,39,-46.45
D,TRADING,PRICE,3,"2024/09/01 03:20:00",1,NSW1,40,55.61
D,TRADING,PRICE,3,"2024/09/01 03:20:00",1,QLD1,40,55.75
D,TRADING,PRICE,3,"2024/09/01 03:20:00",1,SA1,40,-48.52
D,TRADING,PRICE,3,"2024/09/01 03:20:00",1,TAS1,40,-46.72
D,TRADING,PRICE,3,"2024/09/01 03:20:00",1,VIC1,40,-48.03
D,TRADING,PRICE,3,"2024/09/01 03:25:00",1,NSW1,41,34.39
D,TRADING,PRICE,3,"2024/09/01 03:25:00",1,QLD1,41,46.63
D,TRADING,PRICE,3,"2024/09/01 03:25:00",1,SA1,41,-46.77
D,TRADING,PRICE,3,"2024/09/01 03:25:00",1,TAS1,41,-45.17
D,TRADING,PRICE,3,"2024/09/01 03:25:00",1,VIC1,41,-46.6
D,TRADING,PRICE,3,"2024/09/01 03:30:00",1,TAS1,42,-46.58
D,TRADING,PRICE,3,"2024/09/01 03:30:00",1,NSW1,42,35.88
D,TRADING,PRICE,3,"2024/09/01 03:30:00",1,QLD1,42,46.63
D,TRADING,PRICE,3,"2024/09/01 03:30:00",1,SA1,42,-48.45
D,TRADING,PRICE,3,"2024/09/01 03:30:00",1,VIC1,42,-48.03
D,TRADING,PRICE,3,"2024/09/01 03:35:00",1,NSW1,43,56.98
D,TRADING,PRICE,3,"2024/09/01 03:35:00",1,QLD1,43,56.59
D,TRADING,PRICE,3,"2024/09/01 03:35:00",1,SA1,43,-48.29
D,TRADING,PRICE,3,"2024/09/01 03:35:00",1,TAS1,43,-50
D,TRADING,PRICE,3,"2024/09/01 03:35:00",1,VIC1,43,-48.03
D,TRADING,PRICE,3,"2024/09/01 03:40:00",1,NSW1,44,47.01
D,TRADING,PRICE,3,"2024/09/01 03:40:00",1,QLD1,44,46.63
D,TRADING,PRICE,3,"2024/09/01 03:40:00",1,SA1,44,-48.36
D,TRADING,PRICE,3,"2024/09/01 03:40:00",1,TAS1,44,-50
D,TRADING,PRICE,3,"2024/09/01 03:40:00",1,VIC1,44,-48.03
D,TRADING,PRICE,3,"2024/09/01 03:45:00",1,NSW1,45,-19.35
D,TRADING,PRICE,3,"2024/09/01 03:45:00",1,QLD1,45,44.75
D,TRADING,PRICE,3,"2024/09/01 03:45:00",1,SA1,45,-48.24
D,TRADING,PRICE,3,"2024/09/01 03:45:00",1,TAS1,45,-50
D,TRADING,PRICE,3,"2024/09/01 03:45:00",1,VIC1,45,-48.03
D,TRADING,PRICE,3,"2024/09/01 03:50:00",1,NSW1,46,-20.18
D,TRADING,PRICE,3,"2024/09/01 03:50:00",1,QLD1,46,46.63
D,TRADING,PRICE,3,"2024/09/01 03:50:00",1,SA1,46,-48.64
D,TRADING,PRICE,3,"2024/09/01 03:50:00",1,TAS1,46,-50
D,TRADING,PRICE,3,"2024/09/01 03:50:00",1,VIC1,46,-48.03
D,TRADING,PRICE,3,"2024/09/01 03:55:00",1,NSW1,47,46.45
D,TRADING,PRICE,3,"2024/09/01 03:55:00",1,QLD1,47,46.63
D,TRADING,PRICE,3,"2024/09/01 03:55:00",1,SA1,47,-48.19
D,TRADING,PRICE,3,"2024/09/01 03:55:00",1,TAS1,47,-50
D,TRADING,PRICE,3,"2024/09/01 03:55:00",1,VIC1,47,-48.03
D,TRADING,PRICE,3,"2024/09/01 04:00:00",1,NSW1,48,46.43
D,TRADING,PRICE,3,"2024/09/01 04:00:00",1,QLD1,48,46.63
D,TRADING,PRICE,3,"2024/09/01 04:00:00",1,SA1,48,-46.77
D,TRADING,PRICE,3,"2024/09/01 04:00:00",1,TAS1,48,-34.25
D,TRADING,PRICE,3,"2024/09/01 04:00:00",1,VIC1,48,-46.85
D,TRADING,PRICE,3,"2024/09/01 04:05:00",1,NSW1,49,24.34
D,TRADING,PRICE,3,"2024/09/01 04:05:00",1,QLD1,49,44.75
D,TRADING,PRICE,3,"2024/09/01 04:05:00",1,SA1,49,-49.49
D,TRADING,PRICE,3,"2024/09/01 04:05:00",1,TAS1,49,-45.05
D,TRADING,PRICE,3,"2024/09/01 04:05:00",1,VIC1,49,-50.03
D,TRADING,PRICE,3,"2024/09/01 04:10:00",1,NSW1,50,34.24
D,TRADING,PRICE,3,"2024/09/01 04:10:00",1,QLD1,50,44.75
D,TRADING,PRICE,3,"2024/09/01 04:10:00",1,SA1,50,-50.16
D,TRADING,PRICE,3,"2024/09/01 04:10:00",1,TAS1,50,-48.5
D,TRADING,PRICE,3,"2024/09/01 04:10:00",1,VIC1,50,-50.03
D,TRADING,PRICE,3,"2024/09/01 04:15:00",1,NSW1,51,39.88
D,TRADING,PRICE,3,"2024/09/01 04:15:00",1,QLD1,51,44.75
D,TRADING,PRICE,3,"2024/09/01 04:15:00",1,SA1,51,-50.01
D,TRADING,PRICE,3,"2024/09/01 04:15:00",1,TAS1,51,-48.84
D,TRADING,PRICE,3,"2024/09/01 04:15:00",1,VIC1,51,-50.03
D,TRADING,PRICE,3,"2024/09/01 04:20:00",1,NSW1,52,36
D,TRADING,PRICE,3,"2024/09/01 04:20:00",1,QLD1,52,44.75
D,TRADING,PRICE,3,"2024/09/01 04:20:00",1,SA1,52,-47.78
D,TRADING,PRICE,3,"2024/09/01 04:20:00",1,TAS1,52,-48.4
D,TRADING,PRICE,3,"2024/09/01 04:20:00",1,VIC1,52,-48.03
D,TRADING,PRICE,3,"2024/09/01 04:25:00",1,NSW1,53,35.61
D,TRADING,PRICE,3,"2024/09/01 04:25:00",1,QLD1,53,44.75
D,TRADING,PRICE,3,"2024/09/01 04:25:00",1,SA1,53,-49.67
D,TRADING,PRICE,3,"2024/09/01 04:25:00",1,TAS1,53,-50
D,TRADING,PRICE,3,"2024/09/01 04:25:00",1,VIC1,53,-50.03
D,TRADING,PRICE,3,"2024/09/01 04:30:00",1,NSW1,54,37
D,TRADING,PRICE,3,"2024/09/01 04:30:00",1,QLD1,54,44.75
D,TRADING,PRICE,3,"2024/09/01 04:30:00",1,SA1,54,-49.82
D,TRADING,PRICE,3,"2024/09/01 04:35:00",1,QLD1,55,46.63
D,TRADING,PRICE,3,"2024/09/01 04:30:00",1,TAS1,54,-50
D,TRADING,PRICE,3,"2024/09/01 04:30:00",1,VIC1,54,-50.03
D,TRADING,PRICE,3,"2024/09/01 04:35:00",1,NSW1,55,46.2
D,TRADING,PRICE,3,"2024/09/01 04:35:00",1,SA1,55,-49.64
D,TRADING,PRICE,3,"2024/09/01 04:35:00",1,TAS1,55,-50
D,TRADING,PRICE,3,"2024/09/01 04:35:00",1,VIC1,55,-50.03
D,TRADING,PRICE,3,"2024/09/01 04:40:00",1,NSW1,56,35.88
D,TRADING,PRICE,3,"2024/09/01 04:40:00",1,QLD1,56,46.63
D,TRADING,PRICE,3,"2024/09/01 04:40:00",1,SA1,56,-49.6
D,TRADING,PRICE,3,"2024/09/01 04:40:00",1,TAS1,56,-50
D,TRADING,PRICE,3,"2024/09/01 04:40:00",1,VIC1,56,-50.03
D,TRADING,PRICE,3,"2024/09/01 04:45:00",1,NSW1,57,-19.81
D,TRADING,PRICE,3,"2024/09/01 04:45:00",1,QLD1,57,46.63
D,TRADING,PRICE,3,"2024/09/01 04:45:00",1,SA1,57,-49.44
D,TRADING,PRICE,3,"2024/09/01 04:45:00",1,TAS1,57,-50
D,TRADING,PRICE,3,"2024/09/01 04:45:00",1,VIC1,57,-50.03
D,TRADING,PRICE,3,"2024/09/01 04:50:00",1,NSW1,58,35.26
D,TRADING,PRICE,3,"2024/09/01 04:50:00",1,QLD1,58,46.63
D,TRADING,PRICE,3,"2024/09/01 04:50:00",1,SA1,58,-49.04
D,TRADING,PRICE,3,"2024/09/01 04:50:00",1,TAS1,58,-50
D,TRADING,PRICE,3,"2024/09/01 04:50:00",1,VIC1,58,-50.03
D,TRADING,PRICE,3,"2024/09/01 04:55:00",1,NSW1,59,36.59
D,TRADING,PRICE,3,"2024/09/01 04:55:00",1,QLD1,59,46.63
D,TRADING,PRICE,3,"2024/09/01 04:55:00",1,SA1,59,-49.04
D,TRADING,PRICE,3,"2024/09/01 04:55:00",1,TAS1,59,-48.98
D,TRADING,PRICE,3,"2024/09/01 04:55:00",1,VIC1,59,-50.03
