C,SETP.WORLD,DVD_DISPATCH_UNIT_SCADA,AEMO,PUBLIC,DUID,9:36:25,1.74E+12,MONTHLY_ARCHIVE,1.74E+12
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KAREEYA3,21.325,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KAREEYA4,21.3525,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KARSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KEPBG1,0.1,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KEPSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KEPWF1,28.1,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KERNGSP1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KIAMSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KIATAWF1,15.5,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KINGASF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KPP_1,699.79736,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KSP1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LADBROK1,0.01,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LADBROK2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LBB1,2.85,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LEM_WIL,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LGAPWF1,81.23,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LGAPWF2,68.66,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LILYSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LIMOSF11,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LIMOSF21,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LI_WY_CA,75.2178,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LKBONNY1,1.69688,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LKBONNY2,2.02057,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LKBONNY3,0.89315,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LK_ECHO,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LNGS1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LNGS2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LRSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LYA1,553,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LONSDALE,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LOYYB1,568.5,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LOYYB2,576.75,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LYA2,527,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LYA3,553,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,LYA4,284,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MACARTH1,4.52554,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MACKNTSH,86.66,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MANNSF2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MANSLR1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MAPS2PV1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MAPS3PV1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MARYRSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MBAHNTH,30.299999,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MBPS2PV1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MCINTYR1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MCKAY1,0.02,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MEADOWBK,6.08754,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MERCER01,2,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,METZSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MEWF1,1,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MIDDLSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MINTARO,0.08545,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MLSP1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MLWF1,-0.015,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MOKOSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,MOLNGSF1,0,1/01/2025 0:00,,
